DEPARTEMENT (numéro),COMMUNE,Rang ville,TAXE FONCIERE,,,,,,,,,,,,Taux des taxes spéciales d'équipement (+ TASA en Ile-de-France),,,,Taux de la taxe GEMAPI,,,,TOTAL TAUX taxe foncière + taxes annexes (hors TEOM) en 2024,"EVOLUTION TAXE FONCIERE 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %",TAXE D'ENLEVEMENT DES ORDURES MENAGERES,,,,TOTAL TAUX taxe foncière  + TEOM + taxes annexes en 2024,"EVOLUTION TAXE FONCIERE + TEOM 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %"
,,,Taux au profit de la commune,,,,Taux au profit d'un syndicat de communes ou mixte,,,,Taux au profit d'une intercommunalité ,,,,,,,,,,,,,,,,Taux,Taux,Taux,Taux,,,,
,,,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,,,,,2021,2022,2023,2024,,,,
63,CLERMONT-FERRAND,22,"46,60","46,60","46,60","46,60","0,00","0,00","0,00","0,00","2,36","2,82","2,82","2,82","0,15","0,15","0,15","0,17","0,00","0,38","0,08","0,15","49,74","5,2","6,4","4,1","7,99","9,90","9,90","9,90","59,64","8,4","6,6","4,1"
92,CLICHY,87,"29,98","29,98","29,98","32,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","33,37","3,2","7,3","13,2","6,07","6,07","6,07","6,07","39,44","3,3","7,3","11,7"
68,COLMAR,74,"33,00","33,00","33,00","33,00","0,00","0,00","0,00","0,00","0,70","0,70","0,70","0,70","0,00","0,00","0,00","0,00","0,08","0,09","0,10","0,10","33,80","3,4","7,2","3,9","7,30","7,30","7,30","7,30","41,10","3,4","7,1","3,9"
92,COLOMBES,53,"27,47","27,47","27,47","27,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","28,16","3,2","7,4","4,1","6,44","6,44","6,44","6,44","34,60","3,2","7,3","4,0"
31,COLOMIERS,188,"38,75","38,75","41,75","41,75","0,00","0,00","0,00","0,00","13,20","13,20","13,20","13,20","0,38","0,42","0,72","0,77","0,00","0,27","0,34","0,33","56,05","4,0","14,0","4,0","8,10","8,10","8,10","8,10","64,15","3,9","13,0","4,0"
60,COMPIEGNE,185,"48,11","48,11","47,63","47,63","0,00","0,00","0,00","0,00","0,00","1,00","1,00","1,00","0,42","0,44","0,43","0,42","0,29","0,30","0,46","0,43","49,48","5,6","6,4","3,8","9,15","8,50","8,50","8,50","57,98","4,1","6,5","3,8"
91,CORBEIL ESSONNES,125,"39,21","39,21","43,75","43,75","0,00","0,00","0,00","0,00","0,28","1,13","1,13","1,13","0,62","0,57","0,58","0,59","0,00","0,52","0,57","0,55","46,01","6,8","19,0","3,9","7,70","8,71","8,71","8,71","54,72","8,4","16,9","3,9"
92,COURBEVOIE,57,"13,71","14,67","16,58","16,58","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","17,27","10,0","21,0","4,1","1,88","1,88","1,88","1,88","19,15","9,2","19,5","4,1"
94,CRETEIL,47,"41,70","42,12","42,12","43,76","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","44,45","4,3","7,3","8,0","8,37","8,35","8,32","8,30","52,75","4,1","7,2","7,3"
21,DIJON,17,"50,28","50,28","50,28","50,28","0,00","0,00","0,00","0,00","0,61","1,41","1,41","1,41","0,39","0,39","0,37","0,36","0,00","0,00","0,00","0,00","52,05","5,0","7,1","3,9","6,40","6,40","6,40","6,40","58,45","4,8","7,1","3,9"
