Station_Name,Station_Town,Department,Longitude,Latitude,FRET,VOYAGEURS
Heilly,HEILLY,SOMME,2.540395372875266,49.94382816531326,N,O
Toury,TOURY,EURE-ET-LOIR,1.939384579321158,48.19237858487703,O,O
Muret,MURET,HAUTE-GARONNE,1.323643762604224,43.46395527124194,O,O
Abbaretz,ABBARETZ,LOIRE-ATLANTIQUE,-1.524313466657773,47.55546171193697,N,O
Beaurainville,BEAURAINVILLE,PAS-DE-CALAIS,1.895345549815496,50.42276362998072,N,O
Saales,SAALES,BAS-RHIN,7.110880725329616,48.347294703282934,N,O
Teillé,TEILLE,SARTHE,0.191517320153433,48.1813892187838,N,O
La Seyne-Six-Fours,LA SEYNE-SUR-MER,VAR,5.876768162862302,43.11695584401205,O,O
Maizières-lès-Metz,MAIZIERES-LES-METZ,MOSELLE,6.158221809436721,49.21554938935268,N,O
Étréchy,ETRECHY,ESSONNE,2.19360515789254,48.492275105306405,N,O
Jatxou,USTARITZ,PYRENEES-ATLANTIQUES,-1.444737218362545,43.39103536760935,N,O
Bouray,LARDY,ESSONNE,2.289125822214123,48.53193456586715,N,O
Conflans-Jarny,JARNY,MEURTHE-ET-MOSELLE,5.87842254738281,49.16607952738909,O,O
Coarraze-Nay,COARRAZE,PYRENEES-ATLANTIQUES,-0.241804210231492,43.18171577861642,N,O
Louvres,LOUVRES,VAL-D'OISE,2.502681038602271,49.04998445076471,N,O
Penne,PENNE-D'AGENAIS,LOT-ET-GARONNE,0.79911677740077,44.37674412103538,O,O
Houlgate,HOULGATE,CALVADOS,-0.077176226521169,49.30002272376924,N,O
Maillé,MAILLE,INDRE-ET-LOIRE,0.583165439178813,47.05316642302488,N,O
Chasseradès,MONT LOZERE ET GOULET,LOZERE,3.839817631340908,44.553902953903226,N,O
Coudekerque-Branche,COUDEKERQUE-BRANCHE,NORD,2.375589735739861,51.01696058094301,O,O
Compiègne,MARGNY-LES-COMPIEGNE,OISE,2.823822782539432,49.422366072064975,O,O
St-Jean-de-Verges,CRAMPAGNA,ARIEGE,1.608078902407974,43.01220711368319,N,O
Brion-Montréal-la-Cluse,BRION,AIN,5.558441193876042,46.17569128346321,N,O
La Teste,LA TESTE-DE-BUCH,GIRONDE,-1.142811777104821,44.63711174416608,O,O
Les Grésillons,GENNEVILLIERS,HAUTS-DE-SEINE,2.314073814725131,48.92011985084626,N,O
Belfort-Montbéliard-TGV,MEROUX-MOVAL,TERRITOIRE-DE-BELFORT,6.898445295065638,47.58602332147397,N,O
Rosult,ROSULT,NORD,3.348301824455115,50.456479064497294,N,O
St-Saviol,SAINT-SAVIOL,VIENNE,0.217824635463402,46.14701859092328,O,O
Calais-Fréthun,FRETHUN,PAS-DE-CALAIS,1.811555402785079,50.9015707880651,N,O
Joncet,SERDINYA,PYRENEES-ORIENTALES,2.311245947030554,42.561539114650905,N,O
Labarthe-Inard,LABARTHE-INARD,HAUTE-GARONNE,0.851961795025665,43.10494554640785,N,O
Cinq-Mars-la-Pile,CINQ-MARS-LA-PILE,INDRE-ET-LOIRE,0.460452261139511,47.345053921069486,N,O
St-André-le-Gaz,SAINT-ANDRE-LE-GAZ,ISERE,5.52473658763692,45.54393704222099,O,O
Rocamadour-Padirac,ROCAMADOUR,LOT,1.657471417467261,44.81819048951347,N,O
La Possonnière,LA POSSONNIERE,MAINE-ET-LOIRE,-0.694419784842231,47.371091352025,N,O
L'Hospitalet-près-l'Andorre,L'HOSPITALET-PRES-L'ANDORRE,ARIEGE,1.800026840097774,42.5895023978247,N,O
Labenne,LABENNE,LANDES,-1.428786764562733,43.58707120044295,N,O
Sarrebourg,SARREBOURG,MOSELLE,7.051727539632061,48.73862149825253,O,O
Wattignies-Templemars,TEMPLEMARS,NORD,3.051235483877137,50.57837888518604,N,O
Dieulouard,DIEULOUARD,MEURTHE-ET-MOSELLE,6.071541266219483,48.84382867601292,O,O
Villabé,VILLABE,ESSONNE,2.461828319020637,48.59264620198872,N,O
Livron,LIVRON-SUR-DROME,DROME,4.830132288298437,44.779689433736834,N,O
Chaponval,AUVERS-SUR-OISE,VAL-D'OISE,2.14174884933166,49.069128055447806,N,O
Golfe-Juan-Vallauris,VALLAURIS,ALPES-MARITIMES,7.072898593539637,43.565966860204,N,O
Tronsanges,TRONSANGES,NIEVRE,3.053982608953191,47.11312698272247,N,O
St-Paul-de-Varax,SAINT-PAUL-DE-VARAX,AIN,5.128115701915889,46.1001189819199,N,O
St-Amand-les-Eaux,SAINT-AMAND-LES-EAUX,NORD,3.412495431096073,50.44598752949574,O,O
Escaudoeuvres,ESCAUDUVRES,NORD,3.276361665143941,50.19234895374144,N,O
Précy-sur-Oise,PRECY-SUR-OISE,OISE,2.376953455328803,49.203501298737045,N,O
Lens,LENS,PAS-DE-CALAIS,2.827218591200356,50.42697806792896,O,O
Blanzy,BLANZY,SAONE-ET-LOIRE,4.391261601142118,46.69399291424549,N,O
Pont-de-la-Deûle,FLERS-EN-ESCREBIEUX,NORD,3.084946919323701,50.39768903291043,O,O
Angoulins-sur-Mer,ANGOULINS,CHARENTE-MARITIME,-1.115623560111951,46.10794733842751,N,O
St-Dié-des-Vosges,SAINT-DIE-DES-VOSGES,VOSGES,6.94717370791528,48.282120288797906,O,O
